ECG_Max,ECG_SD,alpha_psd,ECG_Mean,ECG_Q1,delta_amp,ECG_Q2,ECG_Q3,beta_amp,ECG_AVHR,ECG_IBI,theta_psd,ECG_RMSSD,time_std,theta_amp,ECG_pNN20,ECG_pNN50,beta_psd,EDA_SC,EDA_SCL,alpha_amp,EDA_SCR,EDA_Max,EDA_SD,delta_psd,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_skew,time_kurtosis,trust level
0.63581083,0.156735905,1.732980768,0.00183302,-0.085416275,27.46829712,0.007650359,0.09135732,3.829706146,173.9130435,345,8.868179949,76.69685396,201.6185707,5.7226126,0.777777778,0.518518519,0.884436873,7.346760635,7.332649231,2.888316732,0.1301334,7.855224609,0.276397628,256.4053028,7.346760635,7.089214325,7.332649231,7.607040405,42026.57951,42387.76225,41436.54888,-0.316280481,2.43938772,1
0.63581083,0.15862042,2.211044244,0.002465635,-0.081651742,31.87016759,0.00735836,0.091882917,4.089903524,174.6987952,343.4482759,10.40610268,79.82122883,343.700269,6.23405645,0.892857143,0.642857143,1.014305454,7.294880562,7.270927429,3.250125438,0.124121475,7.789459229,0.252686611,347.8490464,7.294880562,7.06111908,7.270927429,7.559318542,41928.23511,42382.0035,40854.8835,-1.111094228,4.104468164,1
0.63581083,0.158142691,3.019278401,0.002757031,-0.083760869,49.0797505,0.008935152,0.09402349,4.152180683,175.4032258,342.0689655,12.96387612,81.72798961,384.440423,6.890179427,0.892857143,0.642857143,1.058918458,7.362542801,7.270927429,3.709739076,0.191783714,8.784790039,0.40354839,880.2964774,7.362542801,7.06111908,7.270927429,7.559318542,41874.02252,42382.0035,40857.66338,-0.741235586,2.791365578,1
0.63581083,0.156415208,3.241493151,0.004280575,-0.076458662,51.48559344,0.010911756,0.093920168,4.172116288,176.9352291,339.1071429,13.84233524,82.52384616,397.4400364,7.145086288,0.925925926,0.62962963,1.067789838,7.488883743,7.270927429,3.849770893,0.318124657,8.907318115,0.606452018,972.1601927,7.488883743,7.06111908,7.270927429,7.559318542,41842.38897,42375.87363,40859.10088,-0.537034377,2.36064712,1
0.63581083,0.158667332,3.237952891,0.000653344,-0.083799053,51.71723592,0.007924388,0.090407202,4.116263169,176.3811455,340.1724138,14.18423717,81.50372472,400.4620016,7.239628485,0.928571429,0.678571429,1.040747451,7.599839821,7.270927429,3.847262681,0.429080734,8.907318115,0.699374842,979.5475371,7.599839821,7.06111908,7.270927429,8.345375061,41797.07572,42377.39075,40859.10088,-0.322858185,2.251097038,1
0.63581083,0.154191555,3.17621607,0.00475718,-0.076339617,51.8899575,0.012385225,0.092985773,4.104362662,176.3811455,340.1724138,14.53609633,70.97534783,394.2397701,7.318701095,0.892857143,0.642857143,1.033054775,7.686881104,7.270927429,3.809282435,0.516122017,8.907318115,0.722901344,985.7912208,7.686881104,7.06111908,7.270927429,8.423957825,41748.57,42383.34875,40848.35425,-0.149815173,2.424326188,1
0.63581083,0.156399522,3.209905595,0.001267287,-0.081948233,52.77440021,0.007794112,0.090407202,4.099713139,175.7322176,341.4285714,15.24456927,80.00578683,366.7540876,7.461373408,0.925925926,0.703703704,1.031559828,7.756673851,7.791481018,3.838163553,0.311872139,8.907318115,0.713689642,1019.799974,7.756673851,7.06111908,7.791481018,8.423957825,41704.5959,42380.59188,40848.35425,-0.034858028,2.860815518,1
0.63581083,0.154542579,3.567757182,0.002703007,-0.078540836,53.09670924,0.008234355,0.092561252,4.361728175,172.8395062,347.1428571,17.76407426,81.06924338,324.1841067,8.049056812,0.925925926,0.740740741,1.167242423,7.817254486,7.8515625,4.034097564,0.282068481,8.907318115,0.687049096,1027.249193,7.817254486,7.06111908,7.8515625,8.423957825,41661.51008,42337.4275,40848.35425,-0.239642876,3.221631924,1
0.573664582,0.157023501,3.75269928,0.002524084,-0.075090762,55.17255489,0.009963884,0.091846979,4.373731015,175.1824818,342.5,20.62594422,87.90777996,313.401699,8.663218752,0.925925926,0.740740741,1.175488848,7.873096237,7.8515625,4.137493603,0.282068481,8.907318115,0.647133567,1121.543149,7.873096237,7.212104797,7.8515625,8.423957825,41655.15222,42244.01988,40848.35425,-0.376049646,3.341140571,1
0.573664582,0.155879693,3.259051023,0.00385596,-0.070957861,52.34022864,0.012479563,0.093381094,4.06282576,174.9089016,343.0357143,18.77181937,91.46442336,323.3563784,8.32925438,0.962962963,0.851851852,1.005840276,7.925319977,7.8515625,3.875038037,0.282068481,8.907318115,0.595284027,1004.515365,7.925319977,7.563610077,7.8515625,8.423957825,41670.54399,42296.38462,40849.26825,-0.388813431,3.353518295,1
0.573664582,0.156002318,2.614657406,0.004277085,-0.064313774,35.36440066,0.014590936,0.092109778,3.899695512,175.8463871,341.2068966,16.33246862,91.38321978,335.3377705,7.787118962,0.964285714,0.857142857,0.919154112,7.97414917,7.8515625,3.523124596,0.282068481,8.907318115,0.529095457,503.6547372,7.97414917,7.563610077,7.8515625,8.423957825,41698.07723,42283.0875,40849.26825,-0.473857151,3.07417835,1
0.581849522,0.153815852,2.830938344,0.002842488,-0.069203625,27.57131333,0.015880222,0.090483571,4.080410555,175.4032258,342.0689655,18.32492271,97.85649113,292.040214,8.269419771,0.964285714,0.892857143,1.006581773,7.979926872,7.8515625,3.687440832,0.282068481,8.907318115,0.513378817,332.8152248,7.979926872,7.548561096,7.8515625,8.423957825,41806.31173,42328.645,41025.55513,-0.302742993,3.008943427,1
0.581849522,0.152754574,2.78522125,0.003158947,-0.062440492,26.86269031,0.014869458,0.090236495,4.182517178,174.1835148,344.4642857,17.97264513,99.10245353,269.1487402,8.177149318,1,0.888888889,1.057127487,7.872378159,7.704811096,3.662216492,0.300559578,8.907318115,0.532193977,321.9764254,7.872378159,7.432842255,7.704811096,8.26335907,41900.4762,42427.87875,41366.37938,0.129151114,2.522345505,1
