ECG_Max,ECG_SD,ECG_Mean,ECG_Q1,ECG_Q2,ECG_Q3,ECG_AVHR,ECG_IBI,ECG_RMSSD,ECG_pNN20,ECG_pNN50,EDA_SC,EDA_SCL,EDA_SCR,EDA_Max,EDA_SD,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_std,time_skew,time_kurtosis,delta_amp,theta_amp,alpha_amp,beta_amp,delta_psd,theta_psd,alpha_psd,beta_psd,trust level
0.63581083,0.156735905,0.00183302,-0.085416275,0.007650359,0.09135732,173.9130435,345,76.69685396,0.777777778,0.518518519,7.346760635,7.332649231,0.1301334,7.855224609,0.276397628,7.346760635,7.089214325,7.332649231,7.607040405,42026.57951,42387.76225,41436.54888,201.6185707,-0.316280481,2.43938772,27.46829712,5.7226126,2.888316732,3.829706146,256.4053028,8.868179949,1.732980768,0.884436873,1
0.63581083,0.15862042,0.002465635,-0.081651742,0.00735836,0.091882917,174.6987952,343.4482759,79.82122883,0.892857143,0.642857143,7.294880562,7.270927429,0.124121475,7.789459229,0.252686611,7.294880562,7.06111908,7.270927429,7.559318542,41928.23511,42382.0035,40854.8835,343.700269,-1.111094228,4.104468164,31.87016759,6.23405645,3.250125438,4.089903524,347.8490464,10.40610268,2.211044244,1.014305454,1
0.63581083,0.158142691,0.002757031,-0.083760869,0.008935152,0.09402349,175.4032258,342.0689655,81.72798961,0.892857143,0.642857143,7.362542801,7.270927429,0.191783714,8.784790039,0.40354839,7.362542801,7.06111908,7.270927429,7.559318542,41874.02252,42382.0035,40857.66338,384.440423,-0.741235586,2.791365578,49.0797505,6.890179427,3.709739076,4.152180683,880.2964774,12.96387612,3.019278401,1.058918458,1
0.63581083,0.156415208,0.004280575,-0.076458662,0.010911756,0.093920168,176.9352291,339.1071429,82.52384616,0.925925926,0.62962963,7.488883743,7.270927429,0.318124657,8.907318115,0.606452018,7.488883743,7.06111908,7.270927429,7.559318542,41842.38897,42375.87363,40859.10088,397.4400364,-0.537034377,2.36064712,51.48559344,7.145086288,3.849770893,4.172116288,972.1601927,13.84233524,3.241493151,1.067789838,1
0.63581083,0.158667332,0.000653344,-0.083799053,0.007924388,0.090407202,176.3811455,340.1724138,81.50372472,0.928571429,0.678571429,7.599839821,7.270927429,0.429080734,8.907318115,0.699374842,7.599839821,7.06111908,7.270927429,8.345375061,41797.07572,42377.39075,40859.10088,400.4620016,-0.322858185,2.251097038,51.71723592,7.239628485,3.847262681,4.116263169,979.5475371,14.18423717,3.237952891,1.040747451,1
0.63581083,0.154191555,0.00475718,-0.076339617,0.012385225,0.092985773,176.3811455,340.1724138,70.97534783,0.892857143,0.642857143,7.686881104,7.270927429,0.516122017,8.907318115,0.722901344,7.686881104,7.06111908,7.270927429,8.423957825,41748.57,42383.34875,40848.35425,394.2397701,-0.149815173,2.424326188,51.8899575,7.318701095,3.809282435,4.104362662,985.7912208,14.53609633,3.17621607,1.033054775,1
0.63581083,0.156399522,0.001267287,-0.081948233,0.007794112,0.090407202,175.7322176,341.4285714,80.00578683,0.925925926,0.703703704,7.756673851,7.791481018,0.311872139,8.907318115,0.713689642,7.756673851,7.06111908,7.791481018,8.423957825,41704.5959,42380.59188,40848.35425,366.7540876,-0.034858028,2.860815518,52.77440021,7.461373408,3.838163553,4.099713139,1019.799974,15.24456927,3.209905595,1.031559828,1
0.63581083,0.154542579,0.002703007,-0.078540836,0.008234355,0.092561252,172.8395062,347.1428571,81.06924338,0.925925926,0.740740741,7.817254486,7.8515625,0.282068481,8.907318115,0.687049096,7.817254486,7.06111908,7.8515625,8.423957825,41661.51008,42337.4275,40848.35425,324.1841067,-0.239642876,3.221631924,53.09670924,8.049056812,4.034097564,4.361728175,1027.249193,17.76407426,3.567757182,1.167242423,1
0.573664582,0.157023501,0.002524084,-0.075090762,0.009963884,0.091846979,175.1824818,342.5,87.90777996,0.925925926,0.740740741,7.873096237,7.8515625,0.282068481,8.907318115,0.647133567,7.873096237,7.212104797,7.8515625,8.423957825,41655.15222,42244.01988,40848.35425,313.401699,-0.376049646,3.341140571,55.17255489,8.663218752,4.137493603,4.373731015,1121.543149,20.62594422,3.75269928,1.175488848,1
0.573664582,0.155879693,0.00385596,-0.070957861,0.012479563,0.093381094,174.9089016,343.0357143,91.46442336,0.962962963,0.851851852,7.925319977,7.8515625,0.282068481,8.907318115,0.595284027,7.925319977,7.563610077,7.8515625,8.423957825,41670.54399,42296.38462,40849.26825,323.3563784,-0.388813431,3.353518295,52.34022864,8.32925438,3.875038037,4.06282576,1004.515365,18.77181937,3.259051023,1.005840276,1
0.573664582,0.156002318,0.004277085,-0.064313774,0.014590936,0.092109778,175.8463871,341.2068966,91.38321978,0.964285714,0.857142857,7.97414917,7.8515625,0.282068481,8.907318115,0.529095457,7.97414917,7.563610077,7.8515625,8.423957825,41698.07723,42283.0875,40849.26825,335.3377705,-0.473857151,3.07417835,35.36440066,7.787118962,3.523124596,3.899695512,503.6547372,16.33246862,2.614657406,0.919154112,1
0.581849522,0.153815852,0.002842488,-0.069203625,0.015880222,0.090483571,175.4032258,342.0689655,97.85649113,0.964285714,0.892857143,7.979926872,7.8515625,0.282068481,8.907318115,0.513378817,7.979926872,7.548561096,7.8515625,8.423957825,41806.31173,42328.645,41025.55513,292.040214,-0.302742993,3.008943427,27.57131333,8.269419771,3.687440832,4.080410555,332.8152248,18.32492271,2.830938344,1.006581773,1
0.581849522,0.152754574,0.003158947,-0.062440492,0.014869458,0.090236495,174.1835148,344.4642857,99.10245353,1,0.888888889,7.872378159,7.704811096,0.300559578,8.907318115,0.532193977,7.872378159,7.432842255,7.704811096,8.26335907,41900.4762,42427.87875,41366.37938,269.1487402,0.129151114,2.522345505,26.86269031,8.177149318,3.662216492,4.182517178,321.9764254,17.97264513,2.78522125,1.057127487,1
0.581849522,0.155472641,0.001954408,-0.067404465,0.011747321,0.090294895,173.0175077,346.7857143,96.24909812,0.962962963,0.777777778,7.703451462,7.594413757,0.23365963,8.803024292,0.451235671,7.703451462,7.307891846,7.594413757,7.967605591,41985.73844,42506.53738,41461.2795,272.6524994,0.154028515,2.327383333,27.51791624,8.723263965,3.869185338,4.22054119,323.6478103,20.40245619,3.112915459,1.075921569,1
0.664642304,0.153108259,0.005132694,-0.06262243,0.015359117,0.092226577,170.3853955,352.1428571,92.53627917,0.962962963,0.666666667,7.549221306,7.484512329,0.178743324,8.447036743,0.356750131,7.549221306,7.253322601,7.484512329,7.778434753,42074.68597,42637.28663,41550.44938,276.7737493,0.312312081,2.783185636,27.00131733,8.797556564,4.456019449,4.534624226,301.7903682,20.2954454,4.087857072,1.239408058,1
0.664642304,0.155489183,0.00033127,-0.067404465,0.010471512,0.086932421,171.9549642,348.9285714,95.43758868,0.962962963,0.703703704,7.423841095,7.375946045,0.14959774,8.097839355,0.296835087,7.423841095,7.178707123,7.375946045,7.644405365,42160.90053,42650.40063,41660.88475,264.8654155,0.227873762,2.510981954,27.80561983,8.42894547,4.447945859,4.413375922,281.355633,18.71645744,4.081742089,1.175072615,1
0.664642304,0.153568148,0.004805876,-0.062193417,0.0141462,0.09182901,173.1958763,346.4285714,89.58236434,0.888888889,0.62962963,7.320191078,7.283706665,0.130461273,7.864456177,0.265471766,7.320191078,7.106971741,7.283706665,7.548179626,42243.36122,42720.40238,41728.56825,263.2554491,0.066881414,2.397365032,24.62329215,7.978143753,4.393464069,4.454802322,192.9661447,16.66347074,3.989689884,1.199075836,1
0.664642304,0.155482985,0.003295292,-0.064713588,0.012843438,0.089809728,171.6913643,349.4642857,87.73909133,0.888888889,0.666666667,7.229589615,7.217025757,0.110901375,7.704620361,0.2463875,7.229589615,7.010421753,7.217025757,7.432498932,42326.1516,42810.82225,41837.54587,252.5330575,-0.031729166,2.24482642,25.38904275,8.227575713,4.523703537,4.519163371,199.738239,17.85569789,4.207012664,1.23687445,1
0.664642304,0.15238298,0.003156431,-0.067130436,0.010736557,0.089955728,171.6913643,349.4642857,90.76322473,0.888888889,0.666666667,7.14801754,7.138442993,0.103363457,7.59437561,0.228907902,7.14801754,6.935119629,7.138442993,7.307739258,42412.52462,42878.64512,41962.2415,244.0320267,-0.076961456,2.404056105,24.86904103,8.046678257,4.515896921,4.559166605,191.8607793,16.91739394,4.205395829,1.261243923,1
0.664642304,0.154000967,0.002570228,-0.067817755,0.010004315,0.088515951,173.553719,345.7142857,88.25468197,0.888888889,0.555555556,7.07233326,7.052612305,0.101915665,7.484130859,0.209931424,7.07233326,6.873950958,7.052612305,7.253284454,42495.73232,42946.55513,42040.95,236.5001711,0.023428237,2.175787688,25.28470124,7.700102136,4.448247131,4.405555863,204.2552515,15.4573947,4.072366139,1.179948172,1
